Shawshank Redemption,R,0,Crime/Drama,9.2
The Godfather,R,2,Crime/Drama,9.2
The Godfather: Part II,R,2,Crime/Drama,9.0
The Dark Knight,PG-13,3,Crime/Drama,8.9
12 Angry Men,Approved,0,Crime/Drama,8.9
