The Shawshank Redemption,R,0,9.3,Crime/Drama
The Godfather,R,2,9.2,Crime/Drama
The Godfather: Part II,R,2,9.0,Crime/Drama
The Dark Knight,PG-13,3,9.0,Crime/Drama
12 Angry Men,Approved,0,8.9,Crime/Drama
